,mjd,mag,magerr
0,51075.42387,19.854,0.02
1,51818.393523,19.967,0.02
2,51819.478721,20.033,0.023
3,51875.222592,20.009,0.023
4,52171.38162,20.053,0.024
5,52171.455031,20.121,0.023
6,52173.357943,20.031,0.024
7,52224.338083,20.058,0.027
8,52225.303384,20.139,0.023
9,52234.294535,20.047,0.025
10,52261.257891,19.999,0.02
11,52283.125263,20.148,0.029
12,52287.138387,20.103,0.024
13,52288.137806,20.089,0.024
14,52551.411093,20.111,0.023
15,52552.457079,20.014,0.021
16,52557.43144,20.045,0.024
17,52558.443966,20.07,0.021
18,52578.315575,20.084,0.02
19,52585.278555,20.038,0.023
20,52585.332769,20.038,0.019
21,52908.406008,20.153,0.023
22,52910.41543,20.096,0.026
23,52912.385447,20.138,0.023
24,52934.337913,20.091,0.024
25,52935.342601,20.135,0.024
26,52936.33384,20.105,0.022
27,52963.265679,20.129,0.02
28,52971.256595,20.106,0.027
29,53270.397931,20.17,0.019
30,53272.447839,20.227,0.027
31,53286.416558,20.145,0.029
32,53288.375051,20.224,0.025
33,53294.422723,20.141,0.047
34,53296.36973,20.272,0.029
35,53298.419499,20.194,0.027
36,53302.37072,20.178,0.032
37,53312.326297,20.266,0.033
38,53314.327451,20.221,0.03
39,53319.315246,20.251,0.032
40,53351.187984,20.202,0.029
41,53616.431803,20.184,0.028
42,53622.445032,20.282,0.023
43,53626.408231,20.226,0.038
44,53627.40213,20.232,0.025
45,53628.393095,20.28,0.038
46,53634.394503,20.296,0.052
47,53638.43584,20.258,0.029
48,53639.440092,20.195,0.028
49,53640.399876,20.271,0.029
50,53641.439258,20.264,0.03
51,53643.44235,20.184,0.029
52,53646.461282,20.257,0.03
53,53657.280028,20.157,0.079
54,53657.398143,20.207,0.054
55,53663.38269,20.275,0.046
56,53663.461701,20.334,0.056
57,53664.397005,20.361,0.059
58,53665.360662,20.191,0.034
59,53665.461633,20.308,0.042
60,53666.452774,20.271,0.039
61,53668.372291,20.298,0.038
62,53668.45025,20.212,0.045
63,53669.35625,20.233,0.031
64,53669.459903,20.227,0.049
65,53670.377143,20.19,0.032
66,53670.456221,20.297,0.039
67,53671.440999,20.305,0.034
68,53673.34513,20.214,0.025
69,53674.340488,20.31,0.032
70,53675.342018,20.226,0.028
71,53676.429942,20.226,0.033
72,53679.401845,20.316,0.037
73,53680.349716,20.176,0.027
74,53681.393359,20.264,0.028
75,53683.408266,20.213,0.119
76,53684.354855,20.237,0.119
77,53686.349148,20.176,0.045
78,53687.406533,20.037,0.1
79,53693.351606,20.07,0.05
80,53696.359077,20.216,0.033
81,53697.350384,20.228,0.032
82,53699.372442,20.174,0.029
83,53700.34934,20.205,0.031
84,53705.33601,20.309,0.035
85,53975.421009,20.294,0.027
86,53989.43097,20.217,0.039
87,53994.444015,20.229,0.032
88,53996.427748,20.17,0.04
89,53997.454557,20.183,0.021
90,54000.406401,20.151,0.026
91,54005.440925,20.165,0.026
92,54007.456549,20.145,0.022
93,54009.380345,20.104,0.02
94,54009.454767,20.18,0.023
95,54010.38191,20.226,0.026
96,54011.444852,20.091,0.023
97,54012.374774,20.142,0.03
98,54012.457627,20.124,0.03
99,54019.439832,20.084,0.033
100,54020.412771,20.167,0.039
101,54024.462287,20.154,0.032
102,54025.443839,20.147,0.03
103,54028.450618,20.219,0.029
104,54030.40604,20.268,0.027
105,54035.450011,20.203,0.032
106,54037.355539,20.205,0.022
107,54040.369984,20.206,0.024
108,54041.405503,20.248,0.035
109,54047.400529,20.139,0.072
110,54049.396477,20.351,0.043
111,54050.356596,20.241,0.044
112,54056.362412,20.269,0.032
113,54059.356699,20.192,0.031
114,54061.367808,20.198,0.06
115,54062.36159,20.172,0.024
116,54064.358048,20.202,0.03
117,54068.342202,20.155,0.034
118,54348.441611,19.995,0.026
119,54357.399929,20.06,0.025
120,54358.39741,19.975,0.026
121,54362.44973,20.028,0.026
122,54365.430451,19.935,0.025
123,54376.444816,20.068,0.028
124,54381.450036,19.967,0.026
125,54382.429913,20.011,0.028
126,54385.447732,20.318,0.036
127,54386.442361,20.023,0.021
128,54387.448213,20.052,0.039
129,54388.446586,20.047,0.021
130,54390.440667,20.03,0.059
131,54391.449096,20.012,0.04
132,54392.444162,20.023,0.039
133,54402.441409,20.044,0.044
134,54403.36044,19.986,0.029
135,54406.354248,19.973,0.023
136,54409.359057,20.013,0.019
137,54412.379986,20.077,0.036
