,mjd,mag,magerr
0,51075.423870,19.854,0.02
5,51818.393523,19.967,0.02
10,51819.478721,20.033,0.023
15,51875.222592,20.009,0.023
20,52171.381620,20.053,0.024
25,52171.455031,20.121,0.023
30,52173.357943,20.031,0.024
35,52224.338083,20.058,0.027
40,52225.303384,20.139,0.023
45,52234.294535,20.047,0.025
50,52261.257891,19.999,0.02
55,52283.125263,20.148,0.029
60,52287.138387,20.103,0.024
65,52288.137806,20.089,0.024
70,52551.411093,20.111,0.023
75,52552.457079,20.014,0.021
80,52557.431440,20.045,0.024
85,52558.443966,20.07,0.021
90,52578.315575,20.084,0.02
95,52585.278555,20.038,0.023
100,52585.332769,20.038,0.019
105,52908.406008,20.153,0.023
110,52910.415430,20.096,0.026
115,52912.385447,20.138,0.023
120,52934.337913,20.091,0.024
125,52935.342601,20.135,0.024
130,52936.333840,20.105,0.022
135,52963.265679,20.129,0.02
140,52971.256595,20.106,0.027
145,53270.397931,20.17,0.019
150,53272.447839,20.227,0.027
155,53286.416558,20.145,0.029
160,53288.375051,20.224,0.025
165,53294.422723,20.141,0.047
170,53296.369730,20.272,0.029
175,53298.419499,20.194,0.027
180,53302.370720,20.178,0.032
185,53312.326297,20.266,0.033
190,53314.327451,20.221,0.03
195,53319.315246,20.251,0.032
200,53351.187984,20.202,0.029
205,53616.431803,20.184,0.028
210,53622.445032,20.282,0.023
215,53626.408231,20.226,0.038
220,53627.402130,20.232,0.025
225,53628.393095,20.28,0.038
230,53634.394503,20.296,0.052
235,53638.435840,20.258,0.029
240,53639.440092,20.195,0.028
245,53640.399876,20.271,0.029
250,53641.439258,20.264,0.03
255,53643.442350,20.184,0.029
260,53646.461282,20.257,0.03
265,53657.280028,20.157,0.079
270,53657.398143,20.207,0.054
275,53663.382690,20.275,0.046
280,53663.461701,20.334,0.056
285,53664.397005,20.361,0.059
290,53665.360662,20.191,0.034
295,53665.461633,20.308,0.042
300,53666.452774,20.271,0.039
305,53668.372291,20.298,0.038
310,53668.450250,20.212,0.045
315,53669.356250,20.233,0.031
320,53669.459903,20.227,0.049
325,53670.377143,20.19,0.032
330,53670.456221,20.297,0.039
335,53671.440999,20.305,0.034
340,53673.345130,20.214,0.025
345,53674.340488,20.31,0.032
350,53675.342018,20.226,0.028
355,53676.429942,20.226,0.033
360,53679.401845,20.316,0.037
365,53680.349716,20.176,0.027
370,53681.393359,20.264,0.028
375,53683.408266,20.213,0.119
380,53684.354855,20.237,0.119
385,53686.349148,20.176,0.045
390,53687.406533,20.037,0.1
395,53693.351606,20.07,0.05
400,53696.359077,20.216,0.033
405,53697.350384,20.228,0.032
410,53699.372442,20.174,0.029
415,53700.349340,20.205,0.031
420,53705.336010,20.309,0.035
425,53975.421009,20.294,0.027
430,53989.430970,20.217,0.039
435,53994.444015,20.229,0.032
440,53996.427748,20.17,0.04
445,53997.454557,20.183,0.021
450,54000.406401,20.151,0.026
455,54005.440925,20.165,0.026
460,54007.456549,20.145,0.022
465,54009.380345,20.104,0.02
470,54009.454767,20.18,0.023
475,54010.381910,20.226,0.026
480,54011.444852,20.091,0.023
485,54012.374774,20.142,0.03
490,54012.457627,20.124,0.03
495,54019.439832,20.084,0.033
500,54020.412771,20.167,0.039
505,54024.462287,20.154,0.032
510,54025.443839,20.147,0.03
515,54028.450618,20.219,0.029
520,54030.406040,20.268,0.027
525,54035.450011,20.203,0.032
530,54037.355539,20.205,0.022
535,54040.369984,20.206,0.024
540,54041.405503,20.248,0.035
545,54047.400529,20.139,0.072
550,54049.396477,20.351,0.043
555,54050.356596,20.241,0.044
560,54053.376374,-99.0,0.031
565,54056.362412,20.269,0.032
570,54059.356699,20.192,0.031
575,54061.367808,20.198,0.06
580,54062.361590,20.172,0.024
585,54064.358048,20.202,0.03
590,54068.342202,20.155,0.034
595,54346.437651,-99.0,0.034
600,54348.441611,19.995,0.026
605,54357.399929,20.06,0.025
610,54358.397410,19.975,0.026
615,54362.449730,20.028,0.026
620,54365.430451,19.935,0.025
625,54376.444816,20.068,0.028
630,54381.450036,19.967,0.026
635,54382.429913,20.011,0.028
640,54385.447732,20.318,0.036
645,54386.442361,20.023,0.021
650,54387.448213,20.052,0.039
655,54388.446586,20.047,0.021
660,54390.440667,20.03,0.059
665,54391.449096,20.012,0.04
670,54392.444162,20.023,0.039
675,54402.441409,20.044,0.044
680,54403.360440,19.986,0.029
685,54406.354248,19.973,0.023
690,54409.359057,20.013,0.019
695,54412.379986,20.077,0.036
