,mjd,mag,magerr
0,51081.417441,19.765,0.021
5,51818.403452,19.841,0.02
10,51875.232400,19.747,0.02
15,52171.391502,19.764,0.019
20,52171.464849,19.734,0.017
25,52173.367774,19.735,0.021
30,52224.347957,19.669,0.017
35,52225.313260,19.658,0.017
40,52234.304412,19.639,0.019
45,52261.267767,19.655,0.017
50,52283.135142,19.677,0.023
55,52287.148264,19.637,0.017
60,52288.147683,19.65,0.017
65,52551.420969,19.778,0.02
70,52552.466956,19.768,0.019
75,52557.441316,19.79,0.02
80,52558.453842,19.708,0.018
85,52578.325451,19.697,0.017
90,52585.288431,19.749,0.019
95,52585.342645,19.737,0.017
100,52908.415882,19.985,0.022
105,52909.455064,19.955,0.019
110,52910.425306,19.994,0.024
115,52912.395322,19.925,0.02
120,52934.347791,19.934,0.022
125,52935.352477,19.86,0.021
130,52936.343716,19.924,0.022
135,52963.275556,19.796,0.018
140,53270.407804,19.961,0.019
145,53272.457714,19.939,0.021
150,53286.426433,19.897,0.022
155,53288.384926,19.952,0.021
160,53294.432598,19.957,0.023
165,53296.379604,19.875,0.03
170,53298.429374,19.875,0.023
175,53302.380596,19.89,0.025
180,53312.336130,19.847,0.028
185,53314.337325,19.891,0.025
190,53319.325123,19.894,0.025
195,53351.197861,19.878,0.022
200,53616.441678,20.174,0.026
205,53622.454907,20.122,0.021
210,53626.418106,20.118,0.028
215,53627.412005,20.157,0.025
220,53628.402970,20.18,0.033
225,53638.445715,20.138,0.031
230,53639.449967,20.233,0.028
235,53640.409750,20.091,0.027
240,53641.449132,20.153,0.03
245,53643.452226,20.066,0.028
250,53646.471158,20.062,0.025
255,53657.289903,-99.0,0.08
260,53657.408016,19.978,0.041
265,53657.454192,20.022,0.027
270,53663.392565,20.064,0.045
275,53663.471575,20.019,0.049
280,53664.406881,20.192,0.124
285,53665.370537,20.137,0.032
290,53665.471507,19.988,0.04
295,53666.462648,20.097,0.03
300,53668.382166,20.014,0.033
305,53668.460124,20.11,0.04
310,53669.366126,20.08,0.031
315,53669.469775,20.011,0.036
320,53670.387018,20.039,0.035
325,53670.466095,19.968,0.037
330,53671.450873,20.13,0.028
335,53673.355006,19.97,0.022
340,53674.350364,20.102,0.03
345,53675.351893,20.0,0.026
350,53676.439816,20.034,0.026
355,53679.411720,20.003,0.028
360,53680.359591,20.017,0.024
365,53681.403234,19.984,0.028
370,53683.418140,20.075,0.057
375,53684.364732,20.005,0.046
380,53686.359022,20.094,0.041
385,53687.306047,19.982,0.051
390,53693.361481,20.057,0.055
395,53694.376193,19.988,0.041
400,53696.368951,20.054,0.028
405,53697.360259,20.019,0.028
410,53699.382316,20.095,0.025
415,53700.359215,20.066,0.03
420,53704.344801,20.02,0.028
425,53705.345885,20.041,0.031
430,53975.430917,-99.0,0.034
435,53989.440849,20.025,0.039
440,53994.453909,19.968,0.023
445,53997.464466,19.954,0.02
450,54000.416328,19.956,0.027
455,54005.450785,19.938,0.031
460,54007.466423,19.941,0.025
465,54009.390200,19.742,0.029
470,54009.464629,19.888,0.021
475,54010.391737,19.868,0.026
480,54011.454709,19.881,0.026
485,54012.384591,19.979,0.027
490,54012.467518,19.952,0.029
495,54019.449939,19.961,0.051
500,54020.422639,19.931,0.031
505,54024.472150,19.927,0.033
510,54025.453760,19.965,0.025
515,54028.460434,19.945,0.029
520,54030.415902,19.896,0.031
525,54035.459869,19.952,0.031
530,54037.365360,19.958,0.031
535,54040.379853,19.915,0.028
540,54041.415431,19.975,0.021
545,54047.410391,19.952,0.048
550,54049.406290,19.993,0.038
555,54050.366518,19.97,0.048
560,54053.385933,20.02,0.029
565,54056.372290,19.954,0.026
570,54059.366589,19.963,0.025
575,54061.377656,19.979,0.047
580,54062.371455,19.956,0.021
585,54064.367901,19.98,0.026
590,54068.352055,19.945,0.041
595,54346.447482,20.041,0.034
600,54348.451436,20.0,0.025
605,54357.409774,20.027,0.018
610,54358.407282,19.998,0.026
615,54362.459578,19.985,0.023
620,54365.440363,19.996,0.022
625,54376.454743,20.052,0.028
630,54381.459913,19.998,0.024
635,54382.439819,19.971,0.032
640,54385.457586,20.038,0.02
645,54386.452269,20.093,0.02
650,54387.458096,20.034,0.04
655,54388.456465,20.053,0.023
660,54392.454040,20.055,0.027
665,54402.451245,20.081,0.051
670,54403.370274,20.101,0.051
675,54406.364218,20.049,0.022
680,54409.369074,-99.0,0.029
685,54412.389911,20.086,0.035
