#Table1
specobjid,redshift,plate,mjd,fiberid,oiii_5007_flux,h_beta_flux,h_alpha_flux,nii_6584_flux
351381404585584640,0.02927967,312,51689,366,129.6473,102.1698,239.291,341.7604
595671728315721728,0.02851562,529,52025,257,2545.94,2119.171,6880.708,1973.572
595709936344786944,0.02305681,529,52025,396,78.77563,59.15803,166.2006,225.5064
596829239198640128,0.02350052,530,52026,372,87.98524,148.2663,576.1801,492.7685
600252293236942848,0.02527736,533,51994,537,370.8294,185.4991,805.1729,1017.009
601270715932502016,0.02613329,534,51997,146,88.7822,64.62541,183.0829,135.8652
852339802131949568,0.01746773,757,52238,122,76.21757,581.3502,3564.034,2264.24
855834600277043200,0.03806694,760,52264,548,99.20126,369.6912,1376.463,457.9238
1088894512845056000,0.03220984,967,52636,543,204.4987,220.8447,613.8288,774.0873
1088904133571799040,0.002484356,967,52636,578,5155.159,2888.22,9116.758,1258.65
1089977253162412032,0.00310283,968,52412,386,616.2593,192.1399,676.93,230.3844
1091056424328390656,0.02395286,969,52442,216,104.94,61.13824,169.8735,131.7778
1092252142737057792,0.03075743,970,52413,470,574.2421,321.8203,1156.597,1915.583
1560569341173327872,0.02292491,1386,53116,262,197.1484,606.4586,2657.308,1498.476
2049151095191660544,0.03962012,1820,54208,48,256.3197,895.5764,4692.319,2468.124
2053798718813005824,0.02383399,1824,53491,572,2095.57,369.7966,1413.031,1416.562
2423060084700506112,0.02211325,2152,53874,449,71.18873,92.03091,457.5656,270.8259
2426488361049942016,0.02172226,2155,53820,633,1583.726,2112.095,9728.388,3436.171
3161608927930509312,0.03365843,2808,54524,298,64.46188,128.47,517.2263,252.1562
3161664453267712000,0.03577136,2808,54524,500,104.9556,138.3292,609.3069,514.2526
1019076074354534400,0.004795756,905,52643,497,24484.28,14679.14,2.757685E+07,9508.756
1020212140130199552,0.003141656,906,52368,534,9143.347,3444.202,10139.75,1255.078
1456925795636242432,0.01859305,1294,52753,41,434.2856,760.5303,3193.848,2127.768
2188792631524354048,0.03300617,1944,53385,157,64.77869,26.78898,113.0859,139.0237
2188856128320858112,0.02764277,1944,53385,388,47.74178,30.08989,72.51556,63.20735
2189913858540333056,0.005101494,1945,53387,140,3133.1,1413.284,4369.396,429.6342
2191148610853300224,0.005096612,1946,53432,536,1515.987,435.0816,1567.432,552.7787
2479297075636889600,0.0295208,2202,53566,238,191.7525,154.0257,361.0269,359.933
2482666532828637184,0.0317166,2205,53793,208,745.2076,1114.49,3924.727,1299.615
