oid|main_id|rvz_redshift|otype|ra|dec|U|B|V|R
5036418|"LEDA  139813"           |0.026598400951100647|"Sy2"|185.93070287377998|-42.59223093757999 |19.45|17.28 |17.75|15.69 
1000586|"3C 186"                 |1.06551             |"QSO"|116.07280027454999|37.8881251937      |     |17.5  |18.14|17.2  
285414 |"ICRF J182931.7+484446"  |0.69166326          |"Sy1"|277.38242072207   |48.74615560247     |     |17.05 |16.81|16.86 
1380415|"QSO B2134+0028"         |1.94125             |"QSO"|324.160776343     |0.6983924600555556 |     |17.3  |17.08|17.02 
2506951|"2MASX J20210438-2235183"|0.185               |"Sy1"|305.2669329166667 |-22.59049305555555 |     |17.53 |16.8 |16.28 
3096224|"2MASS J01341690-4258262"|0.2371340509173183  |"Sy1"|23.570446809      |-42.97395094204    |     |18.17 |17.3 |16.71 
1024604|"3C 190"                 |0.24639             |"QSO"|120.38980215270003|14.245226085169998 |     |21.07 |20.26|18.972
1446666|"2MASX J22502534+1419519"|0.23497             |"Sy1"|342.60561470438   |14.331137708650001 |     |17.28 |16.97|17.243
1401959|"ICRF J231635.1+040518"  |0.22                |"Sy2"|349.14663898619995|4.08841586141      |     |17.54 |16.68|17.22 
290588 |"ICRF J234403.7+822640"  |0.735               |"Sy2"|356.01595925896   |82.44454039178     |     |21.769|20.5 |20.22 
1601529|"3C 213.1"               |0.19405             |"AGN"|135.27192273549   |29.02970530273     |     |18.84 |18.08|18.6  
1430497|"3C 455.0"               |0.542999            |"Sy2"|343.7659          |13.2262            |     |19.535|19.59|19.19 
308928 |"ICRF J054236.1+495107"  |0.55                |"Sy1"|85.65057457125    |49.852009364972226 |     |18.45 |17.8 |17.21 
276686 |"QSO B1946+708"          |0.101               |"BLL"|296.47299859575   |70.93020237980556  |     |18.726|16.7 |17.199
390367 |"ICRF J145907.5+714019"  |0.90111275          |"Sy1"|224.78159961683332|71.67218522480556  |     |17.24 |16.78|17.2  
3333768|"ICRF J155658.8-791404"  |0.15033619          |"Sy2"|239.24529081354166|-79.2345227011389  |     |18.8  |18.8 |17.84 
530505 |"2E  2879"               |0.32007             |"Sy1"|193.10981718159   |56.57210381524     |     |18.42 |18.11|17.66 
1291482|"QSO B2126-15"           |3.29102682          |"Bla"|322.30073288870835|-15.644733863416665|     |17.61 |17.3 |17.3  
1840513|"ICRF J114722.1+350107"  |0.06289             |"Sy2"|176.84220742716   |35.01876077394001  |     |17.89 |16.83|10.26 
485007 |"3C 268.3"               |0.37116             |"Sy1"|181.60294399999998|64.22691           |22.74|21.847|20.79|19.91 
1523629|"7C 022118.10+273638.00" |0.310101            |"Sy1"|36.05119381614    |27.836538412679996 |     |19.502|18.0 |18.263
783533 |"ICRF J052109.8+163822"  |0.76                |"Sy1"|80.29119151075    |16.639458762749996 |     |19.37 |18.84|18.48 
5319320|"ICRF J090933.4+425346"  |0.67002             |"Sy2"|137.38957145425002|42.896245028777784 |     |19.98 |19.42|18.22 
5319608|"ICRF J134733.3+121724"  |0.121928            |"Sy2"|206.88900674470835|12.290066636861113 |     |19.28 |18.44|15.718
3514738|"ICRF J200755.1-443444"  |0.24                |"Sy1"|301.97993435331   |-44.57896503285    |     |19.3  |19.3 |18.0  
424854 |"7C 155054.79+581551.00" |1.325952            |"QSO"|237.99253252922995|58.11234852339     |     |17.03 |16.73|15.6  
